timestamp,station_id,station_name,latitude,longitude,temp_celsius,humidity_pct,wind_kph,pressure_hpa,precipitation_mm,uv_index,air_quality_index
2024-01-01 00:00:00,S001,Riyadh Central,24.6877,46.7219,15.2,42.0,12.5,1013.2,0.0,0,45
2024-01-01 00:00:00,S002,Dubai Marina,25.0762,55.1349,19.8,65.0,18.2,1012.8,0.0,0,62
2024-01-01 00:00:00,S003,Cairo Airport,30.1219,31.4056,12.1,55.0,8.4,1015.1,0.2,0,88
2024-01-01 00:00:00,S004,Casablanca Coast,33.5731,-7.5898,14.5,78.0,22.1,1018.4,1.2,0,28
2024-01-01 06:00:00,S001,Riyadh Central,24.6877,46.7219,16.8,40.0,10.2,1013.5,0.0,2,48
2024-01-01 06:00:00,S002,Dubai Marina,25.0762,55.1349,21.4,62.0,15.9,1012.5,0.0,2,65
2024-01-01 06:00:00,S003,Cairo Airport,30.1219,31.4056,13.5,52.0,7.2,1015.4,0.0,2,91
2024-01-01 06:00:00,S004,Casablanca Coast,33.5731,-7.5898,15.2,75.0,19.8,1018.1,0.5,2,30
2024-01-01 12:00:00,S001,Riyadh Central,24.6877,46.7219,22.5,32.0,15.8,1012.1,0.0,8,52
2024-01-01 12:00:00,S002,Dubai Marina,25.0762,55.1349,26.2,55.0,20.4,1011.8,0.0,8,70
2024-01-01 12:00:00,S003,Cairo Airport,30.1219,31.4056,18.9,44.0,12.1,1014.2,0.0,8,95
2024-01-01 12:00:00,S004,Casablanca Coast,33.5731,-7.5898,17.8,68.0,25.5,1017.2,0.0,8,35
2024-01-01 18:00:00,S001,Riyadh Central,24.6877,46.7219,19.2,38.0,9.8,1012.8,0.0,4,46
2024-01-01 18:00:00,S002,Dubai Marina,25.0762,55.1349,23.5,60.0,14.2,1012.2,0.0,4,63
2024-01-01 18:00:00,S003,Cairo Airport,30.1219,31.4056,15.8,50.0,8.9,1014.8,0.0,4,89
2024-01-01 18:00:00,S004,Casablanca Coast,33.5731,-7.5898,16.1,72.0,20.8,1017.8,0.8,4,32
2024-01-02 00:00:00,S001,Riyadh Central,24.6877,46.7219,14.8,43.0,11.2,1013.9,0.0,0,44
2024-01-02 00:00:00,S002,Dubai Marina,25.0762,55.1349,20.1,66.0,17.5,1013.1,0.0,0,60
2024-01-02 00:00:00,S003,Cairo Airport,30.1219,31.4056,11.9,56.0,7.8,1015.5,0.4,0,86
2024-01-02 00:00:00,S004,Casablanca Coast,33.5731,-7.5898,13.8,80.0,23.4,1019.2,2.1,0,25
2024-01-02 06:00:00,S001,Riyadh Central,24.6877,46.7219,17.2,39.0,10.5,1014.1,0.0,2,47
2024-01-02 06:00:00,S002,Dubai Marina,25.0762,55.1349,21.8,63.0,16.2,1012.9,0.0,2,64
2024-01-02 06:00:00,S003,Cairo Airport,30.1219,31.4056,13.2,53.0,6.9,1015.8,0.0,2,90
2024-01-02 06:00:00,S004,Casablanca Coast,33.5731,-7.5898,,76.0,21.1,1018.5,0.3,2,29
2024-01-02 12:00:00,S001,Riyadh Central,24.6877,46.7219,23.1,31.0,16.4,1012.4,0.0,9,54
2024-01-02 12:00:00,S002,Dubai Marina,25.0762,55.1349,27.0,53.0,21.8,1011.5,0.0,9,72
2024-01-02 12:00:00,S003,Cairo Airport,30.1219,31.4056,19.5,43.0,13.2,1014.0,0.0,9,97
2024-01-02 12:00:00,S004,Casablanca Coast,33.5731,-7.5898,18.5,66.0,26.8,1017.0,0.0,9,37
2024-01-02 18:00:00,S001,Riyadh Central,24.6877,46.7219,19.8,37.0,10.1,1013.1,0.0,4,47
2024-01-02 18:00:00,S002,Dubai Marina,25.0762,55.1349,24.1,58.0,15.5,1012.0,0.0,4,65
2024-01-02 18:00:00,S003,Cairo Airport,30.1219,31.4056,16.2,49.0,9.5,1014.6,0.0,4,88
2024-01-02 18:00:00,S004,Casablanca Coast,33.5731,-7.5898,15.8,73.0,22.2,1017.5,0.6,4,31
2024-01-03 00:00:00,S001,Riyadh Central,24.6877,46.7219,999.9,44.0,11.8,1014.2,0.0,0,43
2024-01-03 06:00:00,S001,Riyadh Central,24.6877,46.7219,16.5,41.0,10.8,1014.4,0.0,2,46
2024-01-03 06:00:00,S002,Dubai Marina,25.0762,55.1349,22.2,64.0,16.8,1013.2,0.0,2,63
2024-01-03 06:00:00,S003,Cairo Airport,30.1219,31.4056,14.1,51.0,7.5,1016.0,0.1,2,87
2024-01-03 06:00:00,S004,Casablanca Coast,33.5731,-7.5898,14.9,77.0,20.5,1018.8,1.5,2,27
2024-01-03 12:00:00,S001,Riyadh Central,24.6877,46.7219,24.2,30.0,17.2,1011.8,0.0,10,56
2024-01-03 12:00:00,S002,Dubai Marina,25.0762,55.1349,27.8,52.0,22.5,1011.2,0.0,10,74
2024-01-03 12:00:00,S003,Cairo Airport,30.1219,31.4056,20.4,42.0,14.1,1013.5,0.0,10,99
2024-01-03 12:00:00,S004,Casablanca Coast,33.5731,-7.5898,19.2,65.0,28.2,1016.5,0.0,10,39
2024-01-03 18:00:00,S001,Riyadh Central,24.6877,46.7219,20.5,36.0,10.5,1012.5,0.0,4,48
2024-01-03 18:00:00,S002,Dubai Marina,25.0762,55.1349,24.8,57.0,16.2,1011.8,0.0,4,66
2024-01-03 18:00:00,S003,Cairo Airport,30.1219,31.4056,17.1,48.0,10.2,1014.2,0.0,4,86
2024-01-03 18:00:00,S004,Casablanca Coast,33.5731,-7.5898,16.5,71.0,23.5,1017.1,0.4,4,30
